row_index,audio_path,speaker_id,split,gender,age,ethnicity,embedding_family
76,ears_dataset_processed/val/p066/rainbow_03_highpitch_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
77,ears_dataset_processed/val/p066/rainbow_07_whisper_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
78,ears_dataset_processed/val/p066/rainbow_08_regular_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
79,ears_dataset_processed/val/p066/freeform_speech_02_1440000_1600000.wav,p066,val,female,46-55,white or caucasian,ecapa
80,ears_dataset_processed/val/p066/freeform_speech_05_1280000_1440000.wav,p066,val,female,46-55,white or caucasian,ecapa
81,ears_dataset_processed/val/p066/freeform_speech_06_320000_480000.wav,p066,val,female,46-55,white or caucasian,ecapa
82,ears_dataset_processed/val/p066/sentences_06_loud_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
83,ears_dataset_processed/val/p066/rainbow_08_highpitch_160000_320000.wav,p066,val,female,46-55,white or caucasian,ecapa
84,ears_dataset_processed/val/p066/sentences_02_lowpitch_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
85,ears_dataset_processed/val/p066/emo_disappointment_freeform_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
86,ears_dataset_processed/val/p066/freeform_speech_05_320000_480000.wav,p066,val,female,46-55,white or caucasian,ecapa
87,ears_dataset_processed/val/p066/sentences_15_regular_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
88,ears_dataset_processed/val/p066/sentences_18_regular_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
89,ears_dataset_processed/val/p066/freeform_speech_06_640000_800000.wav,p066,val,female,46-55,white or caucasian,ecapa
90,ears_dataset_processed/val/p066/sentences_07_slow_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
91,ears_dataset_processed/val/p066/freeform_speech_03_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
92,ears_dataset_processed/val/p066/freeform_speech_05_160000_320000.wav,p066,val,female,46-55,white or caucasian,ecapa
93,ears_dataset_processed/val/p066/emo_serenity_sentences_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
94,ears_dataset_processed/val/p066/rainbow_06_loud_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
95,ears_dataset_processed/val/p066/emo_contentment_freeform_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
96,ears_dataset_processed/val/p066/emo_confusion_sentences_0_130359.wav,p066,val,female,46-55,white or caucasian,ecapa
97,ears_dataset_processed/val/p066/freeform_speech_01_2240000_2400000.wav,p066,val,female,46-55,white or caucasian,ecapa
98,ears_dataset_processed/val/p066/rainbow_05_loud_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa
99,ears_dataset_processed/val/p066/freeform_speech_04_2400000_2560000.wav,p066,val,female,46-55,white or caucasian,ecapa
