task,source_prefix,audio_path,resolved_audio_path,resolution_method,prompt,gold_response,true_value,prediction,pred_value,is_exact_match,is_value_correct,status,error
age,ears_dataset_processed,ears_dataset_processed/val/p087/sentences_08_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/sentences_08_slow_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/sentences_08_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/sentences_08_slow_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_02_320000_480000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_02_320000_480000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_02_320000_480000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_02_320000_480000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/emo_disgust_sentences_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/emo_disgust_sentences_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is likely between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/emo_extasy_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/emo_extasy_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is likely between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/sentences_11_highpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/sentences_11_highpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_04_2080000_2240000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_04_2080000_2240000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_04_2080000_2240000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_04_2080000_2240000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_06_1280000_1440000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_06_1280000_1440000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_06_1280000_1440000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_06_1280000_1440000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal traits. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_08_lowpitch_160000_320000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_08_lowpitch_160000_320000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_06_960000_1120000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_06_960000_1120000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p087/emo_embarassment_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/emo_embarassment_freeform_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,"The speaker's gender is male, as indicated by the metadata.",male,The speaker's gender is inferred to be female based on their vocal characteristics. ,female,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/emo_embarassment_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/emo_embarassment_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/emo_embarassment_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/emo_embarassment_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/emo_desire_sentences_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/emo_desire_sentences_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_05_1120000_1280000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_05_1120000_1280000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_05_1120000_1280000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_05_1120000_1280000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal traits. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/interjection_congratulations_320000_480000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/interjection_congratulations_320000_480000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/interjection_congratulations_320000_480000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/interjection_congratulations_320000_480000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be White. ,White,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/sentences_02_regular_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/sentences_02_regular_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_01_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_01_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,"The speaker's gender is male, as indicated by the metadata.",male,The speaker's gender is inferred to be female based on their vocal characteristics. ,female,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_01_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_01_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_01_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_01_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be White. ,White,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_03_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_03_slow_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_07_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_07_whisper_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,"The speaker's gender is male, as indicated by the metadata.",male,The speaker's gender is inferred to be female based on their vocal characteristics. ,female,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_07_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_07_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_07_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_07_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_03_1280000_1440000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_03_1280000_1440000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/sentences_22_regular_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/sentences_22_regular_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is likely between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/sentences_22_regular_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/sentences_22_regular_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/sentences_02_fast_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/sentences_02_fast_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_02_1440000_1600000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_02_1440000_1600000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_03_fast_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_03_fast_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is likely between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/sentences_09_fast_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/sentences_09_fast_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_06_2560000_2720000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_06_2560000_2720000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_01_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_01_slow_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_05_960000_1120000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_05_960000_1120000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_03_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_03_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_03_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_03_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal traits. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_07_slow_160000_320000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_07_slow_160000_320000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/emo_serenity_sentences_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/emo_serenity_sentences_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is likely between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_03_320000_480000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_03_320000_480000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is likely between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/sentences_01_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/sentences_01_slow_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/emo_contentment_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/emo_contentment_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_01_2240000_2400000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_01_2240000_2400000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is likely between 26 and 35 years old. ,26-35,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_01_2240000_2400000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_01_2240000_2400000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_05_loud_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_05_loud_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is likely between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_04_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_04_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_04_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_04_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal traits. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_03_2400000_2560000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_03_2400000_2560000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/sentences_01_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/sentences_01_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_01_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_01_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/sentences_20_regular_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/sentences_20_regular_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/interjection_anger_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/interjection_anger_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 18 and 25 years old. ,18-25,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/interjection_anger_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/interjection_anger_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics. ,black or african american,0,0,ok,
